number,E,index,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,displ_Bi,displ_Fe,displ_O,norm,min_d
4594,-9999.0,POSCAR190222,-0.58,-0.09,0.35,0.0,0.0,0.0,0.17,0.0,0.0,0.74,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.038,0.587,1.124,1.869
4595,-9999.0,POSCAR190266,0.0,-0.93,0.2,0.0,0.93,0.0,0.45,-0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,0.0,0.0,0.0,0.0,1.018,0.073,0.599,1.532,1.818
4596,-9999.0,POSCAR190394,0.0,0.0,0.0,0.0,1.13,-0.5,0.0,0.7,0.79,0.0,0.0,0.0,0.0,-1.02,0.61,0.0,0.0,0.0,0.0,0.0,0.0,1.411,0.107,1.074,2.013,1.801
4597,-9999.0,POSCAR190478,0.0,0.0,0.0,0.0,-0.44,0.0,-0.53,-0.27,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,-0.95,0.0,0.665,0.343,0.673,1.324,1.823
4598,-9999.0,POSCAR190491,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.7,-0.61,0.0,-0.12,0.0,0.0,0.0,0.0,0.0,0.23,0.41,0.0,0.531,0.161,0.637,1.084,1.818
4599,-9999.0,POSCAR190493,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,-0.86,0.0,0.0,0.24,0.57,0.0,-0.81,0.0,0.0,0.26,0.0,0.0,0.0,0.701,0.1,0.726,1.37,1.806
4600,-9999.0,POSCAR190500,0.0,0.17,0.0,-0.19,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.59,0.13,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.445,0.11,0.908,1.355,1.885
4601,-9999.0,POSCAR190502,0.0,0.0,0.0,0.0,0.0,-0.32,-0.48,0.35,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,-0.24,0.0,0.0,-0.66,0.0,0.722,0.284,0.49,1.019,1.843
4602,-9999.0,POSCAR190504,0.0,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16,0.0,-0.81,0.33,0.44,0.55,0.0,0.0,0.0,0.0,0.399,0.003,0.818,1.168,1.943
4603,-9999.0,POSCAR190592,0.0,0.0,0.0,0.39,0.25,0.0,0.0,0.0,0.0,-0.26,0.71,-0.15,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.374,0.0,0.249,1.054,1.935
4604,-9999.0,POSCAR190603,0.0,0.35,0.0,0.0,-0.88,-0.16,0.0,0.41,0.0,0.0,0.0,-0.07,0.0,-1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.726,0.023,0.762,1.468,1.9
4605,-9999.0,POSCAR190604,0.0,0.0,0.0,0.0,0.0,-0.76,0.86,0.0,0.0,0.0,-0.6,0.52,0.0,0.0,0.0,0.0,0.07,0.0,0.79,0.0,0.0,0.784,0.17,0.565,1.605,1.837
4606,-9999.0,POSCAR190620,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.38,0.0,-0.35,0.0,0.7,0.0,0.0,-0.52,0.0,0.0,0.0,-0.4,0.0,0.531,0.107,0.85,1.099,1.819
4607,-9999.0,POSCAR190676,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,-0.36,0.0,0.0,0.0,-0.09,0.0,0.0,0.83,0.0,-0.16,0.49,0.0,0.0,0.53,0.085,0.702,1.146,1.814
4608,-9999.0,POSCAR190693,0.0,0.0,0.0,0.0,0.0,0.69,-0.63,0.0,0.0,-0.7,0.0,0.0,-0.82,0.0,0.13,-0.07,0.0,0.0,0.0,0.0,0.0,0.458,0.114,0.631,1.434,1.914
4609,-9999.0,POSCAR190849,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.76,0.0,0.0,-0.71,-1.04,0.0,-0.09,0.0,0.0,0.0,0.0,-0.31,0.0,1.073,0.205,0.976,1.577,1.809
4610,-9999.0,POSCAR190896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,-0.79,0.37,-0.2,0.31,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.588,0.081,0.492,1.196,1.876
4611,-9999.0,POSCAR190956,-0.23,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1.03,0.86,0.0,0.0,0.0,0.0,0.0,-0.58,0.0,0.0,0.49,0.07,0.614,1.551,1.862
4612,-9999.0,POSCAR190963,0.44,0.0,-0.57,0.0,0.0,0.0,0.0,0.0,-0.49,-0.34,0.0,0.0,-0.52,0.0,0.0,0.0,0.0,0.0,-0.26,0.0,0.0,0.491,0.077,0.513,1.101,1.818
4613,-9999.0,POSCAR190983,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.53,0.0,0.8,0.0,0.72,-0.13,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.646,0.077,0.609,1.482,1.868
4614,-9999.0,POSCAR190997,0.0,0.0,0.0,-0.52,-0.15,0.0,0.0,0.0,0.0,0.0,-1.18,0.0,-1.1,-0.19,0.0,-0.68,0.0,0.0,0.0,0.0,0.0,0.439,0.004,0.539,1.842,1.933
